Date,Opponent,Spread,Rating,Formatted
2024-09-01,Wyoming,-6.5,4,Arizona State -6.5
2024-09-08,Mississippi State,-5.5,5,Arizona State -5.5
2024-09-12,Texas State,-2.0,5,Arizona State -2
2024-09-21,Texas Tech,4.5,6,Texas Tech -4.5
2024-10-06,Kansas,-2.5,5,Arizona State -2.5
2024-10-12,Utah,6.0,6,Utah -6
2024-10-19,Cincinnati,5.5,6,Cincinnati -5.5
2024-11-02,Oklahoma State,-5.0,5,Arizona State -5
2024-11-10,UCF,-2.5,5,Arizona State -2.5
2024-11-17,Kansas State,7.5,7,Kansas State -7.5
2024-11-23,BYU,-3.5,5,Arizona State -3.5
2024-11-30,Arizona,-7.5,4,Arizona State -7.5
2024-12-07,Iowa State,1.5,6,Iowa State -1.5
2025-01-01,Texas,13.5,8,Texas -13.5
