Date,Opponent,Team_Trips,Team_Conv,Pl_Opps,Pl_Yds,Pl_TDs
2024-08-31,Akron,5,80%,2,25,2
2024-09-07,Western Michigan,5,80%,0,0,0
2024-09-21,Marshall,10,90%,0,0,0
2024-09-28,Michigan State,9,67%,3,42,2
2024-10-05,Iowa,9,67%,0,0,0
2024-10-12,Oregon,10,80%,1,6,1
2024-10-26,Nebraska,5,40%,0,0,0
2024-11-02,Penn State,5,20%,0,0,0
2024-11-09,Purdue,8,62%,1,17,1
2024-11-16,Northwestern,8,62%,1,2,0
2024-11-23,Indiana,8,75%,1,0,0
2024-11-30,Michigan,9,44%,1,10,1
2024-12-22,Tennessee,6,83%,0,0,0
2025-01-01,Oregon,4,100%,0,0,0
2025-01-11,Texas,4,100%,0,0,0
2025-01-21,Notre Dame,8,75%,1,8,1
