Date,Opponent,Adj_Snaps,Adj_Touch,Adj_Share,Adj_Yds
2024-08-31,Akron,59,6,10.2%,92
2024-09-07,Western Michigan,65,5,7.7%,119
2024-09-21,Marshall,57,0,0.0%,0
2024-09-28,Michigan State,65,5,7.7%,83
2024-10-05,Iowa,58,0,0.0%,0
2024-10-12,Oregon,66,7,10.6%,93
2024-10-26,Nebraska,39,3,7.7%,70
2024-11-02,Penn State,59,4,6.8%,55
2024-11-09,Purdue,57,5,8.8%,79
2024-11-16,Northwestern,46,5,10.9%,102
2024-11-23,Indiana,48,4,8.3%,46
2024-11-30,Michigan,59,5,8.5%,35
2024-12-22,Tennessee,57,5,8.8%,93
2025-01-01,Oregon,56,7,12.5%,149
2025-01-11,Texas,57,1,1.8%,3
2025-01-21,Notre Dame,58,6,10.3%,83
