Date,Opponent,Provider,Spread,Total,Implied_Pts
2024-08-31,Akron,DraftKings,Ohio State -50.5,58.5,54.5
2024-09-07,Western Michigan,DraftKings,Ohio State -37.5,54.0,45.75
2024-09-21,Marshall,DraftKings,Ohio State -40,57.0,48.5
2024-09-28,Michigan State,DraftKings,Ohio State -23.5,48.5,36.0
2024-10-05,Iowa,DraftKings,Ohio State -17,46.0,31.5
2024-10-12,Oregon,DraftKings,Ohio State -3.5,55.0,29.25
2024-10-26,Nebraska,DraftKings,Ohio State -25,48.5,36.75
2024-11-02,Penn State,DraftKings,Ohio State -3,47.5,25.25
2024-11-09,Purdue,DraftKings,Ohio State -37.5,55.0,46.25
2024-11-16,Northwestern,DraftKings,Ohio State -28,43.5,35.75
2024-11-23,Indiana,DraftKings,Ohio State -10.5,52.5,31.5
2024-11-30,Michigan,DraftKings,Ohio State -19.5,41.5,30.5
2024-12-22,Tennessee,DraftKings,Ohio State -7.5,47.0,27.25
2025-01-01,Oregon,DraftKings,Ohio State -2.5,55.5,29.0
2025-01-11,Texas,DraftKings,Ohio State -6.5,51.5,29.0
2025-01-21,Notre Dame,DraftKings,Ohio State -8.5,45.5,27.0
