Date,Opponent,Spread,Rating,Havoc_Score,Sacks_PG,TO_PG
2024-08-31,Akron,-50.5,1,10.083333333333334,1.5,1.4166666666666667
2024-09-07,Western Michigan,-37.5,3,9.961538461538462,1.4615384615384615,1.8461538461538463
2024-09-21,Marshall,-40.0,2,12.076923076923077,2.6153846153846154,0.7692307692307693
2024-09-28,Michigan State,-23.5,5,10.375,1.5833333333333333,1.25
2024-10-05,Iowa,-17.0,6,10.73076923076923,2.230769230769231,1.2307692307692308
2024-10-12,Oregon,-3.5,8,11.5,2.7142857142857144,0.7857142857142857
2024-10-26,Nebraska,-25.0,5,12.346153846153847,2.230769230769231,1.3846153846153846
2024-11-02,Penn State,-3.0,8,13.1875,2.75,1.0
2024-11-09,Purdue,-37.5,3,9.583333333333334,1.8333333333333333,0.8333333333333334
2024-11-16,Northwestern,-28.0,4,10.458333333333334,1.9166666666666667,1.4166666666666667
2024-11-23,Indiana,-10.5,7,13.653846153846153,2.6923076923076925,1.1538461538461537
2024-11-30,Michigan,-19.5,6,13.153846153846153,2.769230769230769,1.4615384615384615
2024-12-22,Tennessee,-7.5,8,13.576923076923077,2.230769230769231,1.2307692307692308
2025-01-01,Oregon,-2.5,8,11.5,2.7142857142857144,0.7857142857142857
2025-01-11,Texas,-6.5,8,14.15625,2.8125,1.4375
2025-01-21,Notre Dame,-8.5,7,11.9375,2.5,1.375
