Date,Opponent,Scenario,Count,Avg_Dist,Run_%,Pass_%
2024-08-31,Akron,Obvious Pass,9,7.3,12%,88%
2024-08-31,Akron,Obvious Run,11,2.0,88%,12%
2024-08-31,Akron,Ambiguous,49,9.2,51%,49%
2024-09-07,Western Michigan,Obvious Pass,9,14.4,33%,67%
2024-09-07,Western Michigan,Obvious Run,11,2.7,64%,36%
2024-09-07,Western Michigan,Ambiguous,56,8.9,52%,48%
2024-09-21,Marshall,Obvious Pass,8,10.2,50%,50%
2024-09-21,Marshall,Obvious Run,11,2.5,55%,45%
2024-09-21,Marshall,Ambiguous,42,9.7,50%,50%
2024-09-28,Michigan State,Obvious Pass,12,12.1,18%,82%
2024-09-28,Michigan State,Obvious Run,13,2.5,54%,46%
2024-09-28,Michigan State,Ambiguous,52,8.4,49%,51%
2024-10-05,Iowa,Obvious Pass,9,11.3,22%,78%
2024-10-05,Iowa,Obvious Run,13,2.7,69%,31%
2024-10-05,Iowa,Ambiguous,44,8.7,64%,36%
2024-10-12,Oregon,Obvious Pass,17,14.2,23%,77%
2024-10-12,Oregon,Obvious Run,10,2.3,67%,33%
2024-10-12,Oregon,Ambiguous,48,9.0,48%,52%
2024-10-26,Nebraska,Obvious Pass,8,8.8,57%,43%
2024-10-26,Nebraska,Obvious Run,10,2.1,60%,40%
2024-10-26,Nebraska,Ambiguous,30,8.9,62%,38%
2024-11-02,Penn State,Obvious Pass,10,7.5,0%,100%
2024-11-02,Penn State,Obvious Run,8,2.8,100%,0%
2024-11-02,Penn State,Ambiguous,47,9.0,64%,36%
2024-11-09,Purdue,Obvious Pass,6,14.0,17%,83%
2024-11-09,Purdue,Obvious Run,12,2.8,67%,33%
2024-11-09,Purdue,Ambiguous,49,9.0,51%,49%
2024-11-16,Northwestern,Obvious Pass,6,8.2,0%,100%
2024-11-16,Northwestern,Obvious Run,12,2.0,67%,33%
2024-11-16,Northwestern,Ambiguous,40,8.7,62%,38%
2024-11-23,Indiana,Obvious Pass,11,16.0,9%,91%
2024-11-23,Indiana,Obvious Run,10,2.2,50%,50%
2024-11-23,Indiana,Ambiguous,36,8.6,65%,35%
2024-11-30,Michigan,Obvious Pass,12,7.1,25%,75%
2024-11-30,Michigan,Obvious Run,4,1.8,25%,75%
2024-11-30,Michigan,Ambiguous,47,9.0,50%,50%
2024-12-22,Tennessee,Obvious Pass,7,10.1,57%,43%
2024-12-22,Tennessee,Obvious Run,13,2.4,50%,50%
2024-12-22,Tennessee,Ambiguous,49,9.1,51%,49%
2025-01-01,Oregon,Obvious Pass,11,10.6,45%,55%
2025-01-01,Oregon,Obvious Run,4,2.8,75%,25%
2025-01-01,Oregon,Ambiguous,43,9.1,55%,45%
2025-01-11,Texas,Obvious Pass,14,14.9,15%,85%
2025-01-11,Texas,Obvious Run,8,2.0,75%,25%
2025-01-11,Texas,Ambiguous,42,9.4,40%,60%
2025-01-21,Notre Dame,Obvious Pass,12,11.5,42%,58%
2025-01-21,Notre Dame,Obvious Run,9,2.3,75%,25%
2025-01-21,Notre Dame,Ambiguous,44,9.0,68%,32%
