Date,Wk,Opp,Car,RusYds,RusTD,Rec,RecYds,RecTD
2024-08-31,1,Akron,8,65,0,2,18,0
2024-09-07,2,Western Michigan,10,66,2,0,0,0
2024-09-21,4,Marshall,6,76,2,0,0,0
2024-09-28,5,Michigan State,7,69,0,2,-1,0
2024-10-05,6,Iowa,11,61,0,2,2,0
2024-10-12,7,Oregon,10,87,0,2,4,0
2024-10-26,9,Nebraska,10,25,0,0,0,0
2024-11-02,10,Penn State,10,54,0,1,20,0
2024-11-09,11,Purdue,6,85,1,3,43,0
2024-11-16,12,Northwestern,11,74,0,2,19,0
2024-11-23,13,Indiana,9,68,1,3,5,0
2024-11-30,14,Michigan,10,21,0,2,25,0
2024-12-22,1,Tennessee,10,80,2,4,54,0
2025-01-01,1,Oregon,8,94,2,3,20,0
2025-01-11,1,Texas,6,42,0,1,75,1
2025-01-21,1,Notre Dame,12,49,0,0,0,0
