Date,Opp,C/ATT,PasYds,PasTD,Int,ExpPass,Car,RusYds,RusTD,ExpRun
2024-08-31,Akron,17/28,228,3,0,2,4,18,0,1
2024-09-07,Western Michigan,18/26,292,1,0,4,1,6,1,0
2024-09-21,Marshall,16/20,275,2,1,0,3,-2,1,0
2024-09-28,Michigan State,21/31,244,2,1,5,6,14,1,0
2024-10-05,Iowa,21/25,209,4,1,0,10,28,1,0
2024-10-12,Oregon,28/35,326,2,0,5,9,13,1,0
2024-10-26,Nebraska,13/16,221,3,1,4,8,14,0,0
2024-11-02,Penn State,16/24,182,2,1,4,12,24,0,0
2024-11-09,Purdue,21/26,260,3,0,2,9,7,1,0
2024-11-16,Northwestern,15/24,247,2,0,3,1,0,0,0
2024-11-23,Indiana,22/26,201,2,1,4,5,-1,1,0
2024-11-30,Michigan,19/33,175,1,2,1,4,10,0,0
2024-12-22,Tennessee,24/29,311,2,1,0,5,37,0,0
2025-01-01,Oregon,17/26,319,3,0,0,5,-3,0,0
2025-01-11,Texas,24/33,289,1,1,0,7,4,0,0
2025-01-21,Notre Dame,17/21,231,2,0,0,16,57,0,0
