Date,Wk,Opponent,Team_Att,Team_Conv,Team_%,WH_Pass,WH_Comp,WH_%
2024-08-31,1,Akron,38,15,39%,6,4,67%
2024-09-07,2,Western Michigan,27,7,26%,5,2,40%
2024-09-21,4,Marshall,28,12,43%,0,0,0%
2024-09-28,5,Michigan State,31,11,35%,6,3,50%
2024-10-05,6,Iowa,24,12,50%,0,0,0%
2024-10-12,7,Oregon,31,12,39%,7,6,86%
2024-10-26,9,Nebraska,35,9,26%,4,2,50%
2024-11-02,10,Penn State,28,12,43%,6,4,67%
2024-11-09,11,Purdue,27,10,37%,4,3,75%
2024-11-16,12,Northwestern,28,10,36%,8,3,38%
2024-11-23,13,Indiana,31,10,32%,9,7,78%
2024-11-30,14,Michigan,35,15,43%,12,6,50%
2024-12-22,1,Tennessee,31,12,39%,4,4,100%
2025-01-01,1,Oregon,31,12,39%,8,3,38%
2025-01-11,1,Texas,30,10,33%,8,6,75%
2025-01-21,1,Notre Dame,30,15,50%,6,4,67%
