Date,Week,Opponent,Loc,GameID,Type
TBD,1,TBD,Away,401628455,regular
TBD,2,TBD,Away,401628468,regular
TBD,4,TBD,Away,401628492,regular
TBD,5,TBD,Away,401628498,regular
TBD,6,TBD,Away,401628504,regular
TBD,7,TBD,Away,401628515,regular
TBD,9,TBD,Away,401628530,regular
TBD,10,TBD,Away,401628539,regular
TBD,11,TBD,Away,401628545,regular
TBD,12,TBD,Away,401628550,regular
TBD,13,TBD,Away,401628555,regular
TBD,14,TBD,Away,401628566,regular
TBD,1,TBD,Away,401677177,postseason
TBD,1,TBD,Away,401677183,postseason
TBD,1,TBD,Away,401677191,postseason
TBD,1,TBD,Away,401677192,postseason
