Date,Opponent,Team_Att,Team_Conv,Team_Pct,WH_Att,WH_Comp,WH_Pct
2024-08-31,Akron,14,9,64%,6,4,67%
2024-09-07,Western Michigan,10,3,30%,5,2,40%
2024-09-21,Marshall,8,4,50%,0,0,0%
2024-09-28,Michigan State,17,8,47%,6,3,50%
2024-10-05,Iowa,11,7,64%,0,0,0%
2024-10-12,Oregon,12,4,33%,7,6,86%
2024-10-26,Nebraska,10,1,10%,4,2,50%
2024-11-02,Penn State,13,6,46%,6,4,67%
2024-11-09,Purdue,12,5,42%,4,3,75%
2024-11-16,Northwestern,10,4,40%,8,3,38%
2024-11-23,Indiana,11,4,36%,9,7,78%
2024-11-30,Michigan,16,6,38%,12,6,50%
2024-12-22,Tennessee,9,4,44%,4,4,100%
2025-01-01,Oregon,11,4,36%,8,3,38%
2025-01-11,Texas,10,3,30%,8,6,75%
2025-01-21,Notre Dame,12,9,75%,6,4,67%
